"GENOTYPES","NAME","DFSI","DFFL","DFBO","SPAD1","SPAD2","RWC","MSI","LAI","SLW","BW","NBP","PH","SCYP","GOT","FL","UI","MIC","TENACITY"
190,"Gen_190",61,103,164,33.7,27.6,59.220949,59.896842,1.15,6.722174,1.149734,37,148,82.2,83.4,15.51,70,4.45,15.8
191,"Gen_191",60,106,103,47.9,22.0,70.953554,78.976101,2.77,7.425575,1.926863,34,138,94.16,66.9,18.92,76,3.66,15.22
192,"Gen_192",60,131,136,40.8,20.9,64.557768,96.652307,1.29,12.777903,1.044755,43,129,71.12,61.03,20.9,66,4.71,19.62
193,"Gen_193",60,110,113,44.1,28.7,42.984411,82.97157,3.99,14.148887,1.574688,57,137,64.3,72.84,21.98,71,4.89,21.69
194,"Gen_194",70,109,127,38.1,27.3,68.687382,64.023847,1.62,12.582908,1.663847,47,130,70.47,99.9,21.44,74,4.62,20.32
195,"Gen_195",67,112,113,23.7,20.4,79.703549,93.164671,1.13,7.162455,1.785226,50,135,71.36,50.59,18.8,77,4.75,17.52
196,"Gen_196",68,146,180,48.5,26.1,84.767076,70.703487,3.34,9.761398,1.083959,38,143,53.71,90.14,17.05,77,5.28,17.17
197,"Gen_197",61,127,106,49.2,28.5,47.252012,99.529876,3.11,11.045469,1.150294,56,134,85.55,66.83,20.89,78,4.64,15.43
198,"Gen_198",70,149,117,39.0,28.2,71.681966,83.491453,1.32,12.583828,1.257835,40,148,71.74,63.91,18.47,77,5.61,16.28
199,"Gen_199",60,125,111,42.1,23.8,67.268531,77.39732,4.75,11.49507,1.496576,60,121,60.3,56.73,19.46,72,3.93,18.45
200,"Gen_200",66,121,178,24.4,24.4,81.734889,95.929995,3.07,13.344146,1.789997,39,149,84.5,58.15,21.9,61,4.54,20.83
201,"Gen_201",60,146,161,22.9,26.8,47.121774,80.375629,4.13,9.62003,1.19257,58,122,98.01,58.52,20.07,75,3.07,16.06
202,"Gen_202",62,109,124,27.1,28.4,72.016704,42.198153,1.61,6.962413,1.599998,44,122,88.07,92.92,15.21,75,4.86,19.66
203,"Gen_203",66,122,165,21.8,29.9,77.206465,93.713563,1.08,7.92055,1.75613,40,129,66.89,52.91,19.41,72,4.52,17.55
204,"Gen_204",60,100,138,24.9,22.6,43.312396,62.233427,1.32,5.868456,1.670521,39,147,95.93,97.33,19.69,64,5.45,21.09
205,"Gen_205",66,101,162,26.2,28.5,83.918669,58.161119,3.72,9.016866,1.935976,49,149,57.11,51.16,20.41,73,3.3,18.42
206,"Gen_206",65,103,109,23.2,27.0,52.200057,84.915671,1.79,7.75714,1.81747,48,150,90.89,90.65,17.65,69,4.93,15.69
207,"Gen_207",65,120,170,48.3,22.3,91.626992,77.747763,4.73,10.10382,1.782365,50,134,55.53,84.32,21.72,80,5.43,15.25
208,"Gen_208",62,132,135,27.8,28.6,40.344451,51.57008,3.5,9.274946,1.547656,40,131,61.66,94.37,15.43,71,4.52,19.11
209,"Gen_209",65,147,132,30.6,29.0,92.270963,42.120581,2.56,13.787374,1.6436,55,145,87.85,72.74,21.25,67,3.96,17.8
210,"Gen_210",62,127,156,28.9,29.4,89.320812,60.548345,2.03,10.582722,1.90391,31,126,94.71,69.86,16.96,73,3.63,16.61
211,"Gen_211",69,111,174,34.9,27.6,72.519809,97.383212,2.83,10.659799,1.265106,36,146,69.58,96.48,21.63,71,3.29,20.45
212,"Gen_212",68,109,106,31.3,22.4,82.032602,66.588995,4.5,13.536492,1.870696,43,148,99.86,58.24,18.49,66,3.86,17.45
213,"Gen_213",64,114,117,47.0,20.2,97.45574,71.077603,2.71,9.736193,1.476357,32,145,58.29,97.67,17.55,75,4.78,19.81
214,"Gen_214",60,112,143,37.2,21.6,60.673724,40.387742,3.59,8.706371,1.179285,32,130,51.66,70.91,15.55,64,3.07,17.02
215,"Gen_215",69,126,142,40.4,24.3,61.433118,42.652766,4.95,8.348447,1.784063,49,121,80.65,72.46,17.98,78,4.02,19.41
216,"Gen_216",66,135,171,35.4,23.4,71.805411,54.033686,1.09,10.585371,1.822121,48,129,62.15,53.77,17.58,63,3.37,15.16
217,"Gen_217",63,115,160,43.5,27.2,68.610851,61.193687,2.13,10.751887,1.534608,55,133,92.11,79.31,16.59,60,5.49,19.11
218,"Gen_218",61,113,125,40.1,22.6,41.012382,79.839732,2.06,14.390732,1.829492,41,135,86.55,67.09,17.67,70,5.77,18.06
219,"Gen_219",60,122,173,23.8,20.8,44.697235,49.821596,1.56,9.633345,1.984373,52,125,93.29,61.13,19.66,62,3.45,21.71
220,"Gen_220",68,141,122,36.1,20.9,96.049648,69.754539,2.16,5.115056,1.399024,38,122,70.28,63.62,21.89,74,4.23,21.87
221,"Gen_221",67,129,167,38.7,24.4,80.66969,78.701102,1.32,11.124088,1.043061,48,121,61.28,98.07,16.94,79,4.81,19.16
222,"Gen_222",63,141,127,21.9,26.5,53.987791,81.965992,1.46,8.770541,1.825577,31,145,82.66,70.03,19.12,78,4.42,21.22
223,"Gen_223",65,113,173,36.5,29.3,76.536707,55.066746,4.59,13.410538,1.824844,32,136,82.51,85.29,21.19,61,5.15,18.41
224,"Gen_224",61,109,152,21.6,25.0,82.322593,82.443843,2.14,7.655465,1.606663,38,121,83.77,62.84,17.01,69,5.94,17.23
225,"Gen_225",67,112,105,25.0,22.7,95.038819,51.978678,2.0,12.471185,1.940933,40,125,62.37,68.11,17.68,61,4.83,20.75
226,"Gen_226",67,146,143,21.7,22.6,44.203979,85.855098,4.23,5.884424,1.594311,49,122,96.02,75.01,21.07,63,3.74,16.8
227,"Gen_227",67,123,177,32.1,22.8,84.93414,82.903357,2.09,12.953996,1.126056,51,144,74.26,75.64,20.86,68,5.84,19.07
228,"Gen_228",63,140,176,48.1,23.3,93.278691,98.86734,2.8,8.333618,1.381288,54,146,76.34,88.45,15.62,66,4.47,17.37
229,"Gen_229",67,146,180,25.2,22.4,52.779676,84.150357,4.98,9.689167,1.220585,30,125,88.38,90.24,17.43,80,3.73,20.49
230,"Gen_230",67,129,164,29.5,25.1,50.324727,44.771921,4.83,13.342778,1.315534,41,140,95.39,90.01,21.19,76,3.5,21.61
231,"Gen_231",63,119,157,36.7,21.2,98.853853,47.947182,2.73,5.832938,1.456237,30,146,82.84,91.05,19.5,73,4.55,17.55
232,"Gen_232",65,117,129,32.5,26.3,59.698426,96.250133,1.42,14.341506,1.604413,38,131,90.55,68.35,15.04,72,3.0,18.18
233,"Gen_233",64,130,113,36.2,28.1,52.989714,52.925131,1.7,11.344158,1.143523,55,128,55.59,77.18,17.45,79,3.72,21.9
234,"Gen_234",64,144,149,23.7,25.0,68.636037,63.096863,3.67,5.63436,1.04739,53,138,51.86,78.58,19.44,62,5.65,21.25
235,"Gen_235",66,130,122,32.8,24.4,98.547178,98.537296,4.59,12.96684,1.432644,35,142,91.75,74.75,21.44,65,3.23,15.98
236,"Gen_236",65,137,104,34.8,24.4,94.081385,83.450472,3.7,9.054555,1.588998,49,136,87.18,71.31,21.99,80,4.74,16.16
237,"Gen_237",62,148,164,36.2,20.1,82.672559,79.749075,4.34,8.737639,1.708813,33,121,50.88,56.98,16.68,69,3.94,17.64
238,"Gen_238",67,142,120,34.1,28.3,51.146659,97.859754,1.95,9.923877,1.434228,34,149,87.12,74.78,17.92,66,4.28,20.96
239,"Gen_239",66,136,110,41.3,25.1,97.518866,44.763148,4.29,12.756045,1.7632,41,131,91.32,89.89,16.86,78,4.99,20.21
240,"Gen_240",67,150,136,47.6,27.8,99.609697,92.995492,2.64,11.66257,1.548819,39,146,92.16,60.12,16.88,70,5.41,15.45
241,"Gen_241",60,145,147,25.6,22.1,88.302549,64.196986,3.55,12.059852,1.081516,41,128,64.78,58.96,17.86,62,3.73,18.47
242,"Gen_242",65,119,130,35.8,21.2,99.867248,88.963275,3.09,13.057291,1.63084,30,120,95.82,86.43,21.02,64,5.92,21.01
243,"Gen_243",60,120,153,46.1,20.9,50.813498,71.42241,3.96,5.118809,1.456739,56,127,88.71,50.89,17.45,64,3.23,18.48
244,"Gen_244",69,137,114,22.9,24.0,50.278693,98.338231,2.68,8.254579,1.700992,42,121,87.53,57.97,17.93,76,5.4,16.43
245,"Gen_245",60,131,127,29.8,26.0,84.582229,53.727975,1.21,10.914914,1.967363,35,133,73.6,51.46,20.17,75,3.81,16.82
246,"Gen_246",68,128,107,28.6,27.1,61.432476,43.56835,1.75,8.631848,1.760812,40,143,72.64,72.81,16.75,76,3.34,16.74
247,"Gen_247",65,114,162,24.1,24.6,59.969162,67.428761,3.94,8.271543,1.017248,53,122,97.07,57.45,20.64,76,3.23,18.68
248,"Gen_248",62,127,171,27.3,21.6,46.632997,84.063156,2.2,13.787129,1.446725,37,121,57.3,92.78,15.2,70,5.97,15.96
249,"Gen_249",67,142,119,20.1,21.2,84.572756,87.255343,4.19,10.411849,1.577545,55,150,58.12,82.63,19.87,71,3.97,17.65
250,"Gen_250",66,142,127,29.1,23.8,88.377156,97.511113,4.17,12.896886,1.890448,52,147,80.08,71.61,20.32,69,3.34,18.34
251,"Gen_251",63,111,152,49.8,27.3,90.125223,98.369804,3.6,13.410258,1.139799,35,131,68.27,84.37,19.81,79,3.34,15.67
252,"Gen_252",68,123,139,36.2,27.8,81.351976,81.495242,3.28,7.58533,1.905681,54,137,61.88,67.77,18.02,78,5.39,19.72
253,"Gen_253",69,127,158,44.3,28.6,70.479387,80.635016,3.1,6.784376,1.285405,57,138,91.34,66.48,16.78,67,3.75,18.06
254,"Gen_254",61,108,155,41.5,22.0,52.531459,85.222315,3.05,6.99932,1.195736,40,132,82.34,65.46,15.94,72,3.08,20.78
255,"Gen_255",70,125,165,30.5,26.4,78.27332,83.70728,1.04,5.127573,1.368528,37,134,69.75,86.56,15.84,72,5.01,20.94
256,"Gen_256",67,130,128,23.7,28.2,66.946685,79.768183,2.41,14.077293,1.15347,37,121,64.71,76.29,15.62,75,5.11,17.7
257,"Gen_257",61,132,154,24.9,23.8,66.614952,40.836291,4.01,14.495998,1.101106,57,145,59.14,96.71,17.41,67,5.39,19.24
258,"Gen_258",64,143,130,31.6,21.6,83.000578,46.453606,2.6,8.358275,1.929735,38,142,69.07,93.88,20.61,63,3.39,21.85
259,"Gen_259",68,140,124,49.0,29.8,46.924655,77.452492,3.05,11.740531,1.777302,47,142,73.77,88.96,17.59,76,4.88,18.43
260,"Gen_260",70,123,110,40.6,23.4,79.345087,76.910024,2.2,13.628087,1.677909,43,122,64.65,51.58,19.69,68,4.52,19.94
261,"Gen_261",70,119,150,50.0,28.0,44.841017,76.737785,3.34,8.392589,1.094918,58,131,53.16,97.95,17.0,75,5.02,15.84
262,"Gen_262",67,112,138,47.4,24.9,41.645212,49.378562,3.94,12.819031,1.523984,45,139,94.33,61.78,19.76,68,4.84,21.93
263,"Gen_263",62,149,109,43.8,26.2,84.486073,71.022123,3.55,8.821267,1.265044,56,128,61.26,88.45,16.88,77,3.18,18.76
264,"Gen_264",66,146,111,44.8,28.3,58.751952,85.21251,4.25,9.964437,1.999441,46,120,72.26,82.99,15.06,73,4.38,20.76
265,"Gen_265",70,105,111,25.9,29.0,88.632779,72.249262,4.55,12.864336,1.208727,46,131,81.23,80.25,15.75,75,3.34,21.24
266,"Gen_266",68,114,133,46.6,20.3,68.740335,41.99832,4.83,12.286354,1.546614,52,146,68.51,99.92,18.18,65,5.24,18.12
267,"Gen_267",68,146,148,37.8,26.2,56.840021,49.466112,4.5,10.086364,1.36153,45,127,50.82,58.57,18.21,74,3.85,20.29
268,"Gen_268",62,144,164,46.9,26.3,74.802498,66.341788,2.27,12.294241,1.841516,32,127,83.29,72.69,21.48,63,4.2,21.2
269,"Gen_269",61,115,141,49.9,21.8,41.234615,87.168551,2.81,7.885662,1.423192,53,149,91.43,50.26,17.99,80,5.51,20.73
270,"Gen_270",66,138,146,38.1,24.3,71.282866,73.239591,3.94,12.200509,1.994072,59,149,68.74,92.78,18.26,77,3.92,21.06
271,"Gen_271",65,138,122,35.6,25.7,76.413628,44.978703,1.12,12.797987,1.598622,41,146,90.22,67.67,16.6,66,4.86,15.12
272,"Gen_272",66,124,129,48.0,20.7,78.838206,48.334356,1.3,11.185688,1.850063,45,121,92.11,50.08,17.69,74,4.65,21.68
273,"Gen_273",70,117,145,45.8,27.6,72.060119,77.371875,4.5,5.239354,1.538438,55,147,69.19,55.66,21.21,70,5.24,18.04
274,"Gen_274",70,127,136,22.3,24.0,72.830105,41.485011,4.05,7.636424,1.138548,38,133,64.55,81.94,20.3,74,4.61,21.56
275,"Gen_275",64,118,149,22.9,25.2,44.725039,88.635695,3.28,11.181407,1.664138,32,136,68.89,71.1,20.18,64,4.21,18.56
276,"Gen_276",65,130,170,23.0,24.6,91.918948,67.88681,1.81,14.477552,1.684162,57,144,80.95,80.44,18.71,64,4.11,17.58
277,"Gen_277",69,110,164,22.1,25.1,64.3288,99.075519,2.61,12.337946,1.285817,43,142,92.76,66.89,17.43,71,5.32,16.07
278,"Gen_278",62,125,117,21.0,24.6,72.894064,62.234055,4.35,13.073047,1.601856,52,128,76.99,58.82,20.98,63,4.96,15.93
279,"Gen_279",60,102,158,25.4,20.7,48.437768,71.21587,1.37,6.712825,1.057435,36,132,87.66,51.59,16.66,78,5.21,15.92
280,"Gen_280",61,136,125,42.7,26.6,97.374902,45.29339,1.83,13.986467,1.690844,59,132,56.07,56.03,21.22,65,4.38,19.61
281,"Gen_281",65,114,103,48.5,22.7,64.265073,93.625962,4.5,8.493345,1.084051,56,144,66.61,95.37,18.08,63,3.63,16.32
282,"Gen_282",63,126,119,47.1,21.2,61.019882,48.912469,4.96,9.788906,1.617906,46,124,90.16,92.69,16.66,60,4.42,17.17
283,"Gen_283",63,120,131,27.3,29.6,40.911308,79.07423,2.55,9.562569,1.998162,34,149,52.15,87.72,22.0,70,4.95,16.96
284,"Gen_284",61,145,156,47.8,20.1,98.925473,58.183515,2.52,5.218406,1.058249,44,126,86.53,96.12,17.28,69,3.1,16.66
285,"Gen_285",61,139,149,24.8,28.9,70.152845,62.570689,4.98,8.970375,1.913957,30,140,91.66,83.3,16.63,70,5.75,16.17
286,"Gen_286",67,123,174,31.3,27.5,87.801669,98.568673,1.57,7.643561,1.829979,50,143,67.19,58.4,15.07,79,3.08,19.79
287,"Gen_287",70,123,121,25.8,27.9,43.210712,89.918657,4.97,9.229294,1.919869,32,129,54.77,67.19,18.68,63,3.62,20.94
288,"Gen_288",69,112,107,40.1,29.6,53.090228,83.25488,2.73,11.912213,1.414622,43,137,98.56,61.11,18.52,64,5.5,21.13
289,"Gen_289",67,106,133,32.4,22.6,79.619853,42.56702,1.39,10.229645,1.556999,59,131,88.72,79.22,19.57,67,5.27,19.16
290,"Gen_290",70,129,115,23.0,20.8,55.670475,80.707105,2.63,13.330125,1.805473,47,139,66.04,63.62,20.46,76,4.54,19.15
291,"Gen_291",63,135,114,25.5,28.9,44.103068,44.989636,2.87,5.066795,1.777897,47,131,61.05,82.29,18.33,78,5.91,18.05
292,"Gen_292",66,134,179,42.4,23.9,41.646335,49.130533,4.91,12.940757,1.812541,34,143,63.3,90.21,21.36,73,3.51,15.63
293,"Gen_293",64,122,146,43.6,20.3,74.809505,93.909394,3.52,14.115569,1.890446,54,120,50.62,56.4,18.28,61,5.08,15.92
294,"Gen_294",65,145,145,36.7,27.9,66.998575,72.354605,4.96,5.291532,1.601692,40,146,81.28,81.91,21.04,80,5.18,18.09
295,"Gen_295",60,120,150,21.4,21.9,80.524989,42.830721,1.1,14.013054,1.847878,55,142,69.01,83.58,18.96,67,5.06,15.82
296,"Gen_296",68,132,145,35.3,26.3,50.341116,42.910937,3.42,10.16059,1.359365,46,135,72.54,75.17,17.73,63,3.88,16.69
297,"Gen_297",67,137,142,24.5,27.7,53.993512,88.849473,3.97,5.297094,1.773691,43,149,92.44,52.88,19.32,62,5.57,16.66
298,"Gen_298",63,137,112,28.0,29.8,65.613016,95.823837,1.09,7.859695,1.029624,45,128,72.77,51.51,20.94,71,5.55,18.51
299,"Gen_299",60,111,132,32.0,22.3,78.547508,59.534276,2.93,9.325788,1.947847,39,124,65.23,81.2,16.08,69,4.42,18.02
300,"Gen_300",70,114,176,22.8,23.7,65.912277,73.102233,4.9,13.603733,1.968119,47,150,79.02,85.94,18.9,77,5.8,16.3
301,"Gen_301",62,117,159,22.4,22.7,83.983567,59.227847,2.1,10.659565,1.652118,47,133,80.04,77.55,19.43,62,4.42,15.82
302,"Gen_302",62,124,155,28.1,21.4,98.971646,96.128577,4.59,8.165258,1.768173,33,141,61.26,65.35,20.28,71,4.06,17.14
303,"Gen_303",64,131,161,20.7,24.0,52.155057,56.709697,2.93,11.447976,1.199152,42,142,98.14,92.6,15.29,74,5.31,20.52
304,"Gen_304",63,141,129,25.8,26.1,91.951214,72.31308,2.62,8.20431,1.38304,54,122,64.53,82.83,20.77,72,5.09,19.04
305,"Gen_305",62,107,171,28.0,21.7,55.081425,60.569558,4.09,5.009605,1.819124,31,131,66.65,50.93,16.58,66,5.25,17.82
306,"Gen_306",67,118,118,32.1,29.4,80.50634,49.731864,3.25,7.74163,1.364129,36,147,80.22,94.18,16.05,75,3.96,21.73
307,"Gen_307",67,146,155,46.6,25.7,77.099761,92.5157,3.57,14.952438,1.235545,54,145,53.91,65.66,20.59,61,5.71,19.67
308,"Gen_308",64,120,171,44.0,27.5,41.452838,74.19647,1.77,7.300679,1.391015,49,138,88.1,57.79,16.23,65,4.93,19.44
309,"Gen_309",66,121,152,34.4,24.9,44.308054,58.621061,2.26,14.763206,1.369094,38,145,66.87,91.52,17.19,65,5.47,16.39
310,"Gen_310",68,136,166,34.7,23.5,61.420817,51.831452,1.52,11.635583,1.008885,31,134,59.63,94.11,16.75,79,3.4,16.46
311,"Gen_311",69,122,108,30.9,21.0,80.804937,54.814334,4.43,13.292701,1.095579,39,138,62.15,60.02,18.18,78,5.34,15.48
312,"Gen_312",60,106,108,49.4,26.7,81.687833,91.29604,4.37,8.344524,1.077515,31,149,62.59,52.03,19.12,66,4.21,15.43
313,"Gen_313",62,117,120,48.0,28.1,94.282281,42.067002,1.49,11.027216,1.709956,42,140,84.29,59.65,16.83,69,4.15,17.57
314,"Gen_314",61,105,134,46.9,20.5,40.799791,96.58073,3.56,12.272984,1.305945,51,124,65.33,75.38,17.41,74,5.25,19.74
315,"Gen_315",63,116,137,29.4,24.6,41.903357,82.074678,2.3,11.013254,1.576295,44,142,65.67,75.97,15.76,68,5.51,15.53
316,"Gen_316",67,124,110,22.9,23.4,86.259215,63.926754,2.24,14.064871,1.987623,50,144,68.9,51.85,19.03,79,5.16,15.4
317,"Gen_317",64,115,173,33.8,25.0,44.015177,98.148494,2.93,8.595107,1.782307,52,135,66.05,58.1,16.97,68,5.94,15.75
318,"Gen_318",61,128,119,23.8,27.7,88.801522,48.587833,1.64,6.650877,1.058249,56,125,99.47,87.27,16.1,72,4.34,16.14
319,"Gen_319",60,124,125,25.7,21.1,82.59366,94.04568,3.31,9.233397,1.014319,51,129,70.22,75.52,21.92,62,3.53,20.95
320,"Gen_320",67,126,129,46.8,20.7,68.38083,59.933713,1.86,8.961349,1.160068,59,143,53.16,79.48,19.91,79,4.07,17.45
321,"Gen_321",62,128,139,48.0,26.4,82.341504,70.693574,3.22,14.210479,1.048023,41,142,88.66,63.33,15.35,68,3.57,16.82
322,"Gen_322",61,117,173,37.5,24.2,89.316002,80.303053,4.61,11.700231,1.021979,55,133,88.09,74.93,20.56,74,4.42,15.63
323,"Gen_323",63,115,135,29.9,22.0,92.986487,48.957906,4.68,14.647038,1.515891,59,139,53.62,65.87,18.42,72,4.29,21.14
324,"Gen_324",63,101,165,25.0,27.0,97.870113,95.006635,3.27,5.395791,1.264878,40,143,51.72,66.08,15.02,75,4.73,20.52
325,"Gen_325",69,134,109,20.7,24.3,55.078668,63.789862,3.17,11.120136,1.992556,31,136,81.74,82.39,17.56,65,4.41,20.17
326,"Gen_326",62,113,131,26.8,21.1,61.242466,83.814604,2.34,6.637968,1.623315,60,142,98.81,96.04,18.5,71,5.28,20.58
327,"Gen_327",60,124,135,25.9,27.4,71.842874,54.009889,3.76,12.857198,1.465295,49,131,77.0,70.24,18.61,69,5.54,18.41
328,"Gen_328",61,129,121,47.9,27.6,63.961368,41.377213,3.32,10.99586,1.252466,43,125,53.12,71.24,21.62,68,4.06,19.66
329,"Gen_329",61,132,179,34.7,25.9,66.332545,89.940207,3.41,12.373152,1.673032,56,126,64.96,78.05,16.59,69,3.38,16.57
330,"Gen_330",67,136,153,35.5,29.2,84.35946,85.039776,1.45,10.377213,1.58226,32,141,76.2,67.34,20.89,60,4.21,18.96
331,"Gen_331",61,138,114,25.0,22.9,86.528423,94.07485,2.38,12.525585,1.283835,43,143,80.53,99.71,21.22,79,5.42,21.35
332,"Gen_332",70,110,131,46.3,20.3,79.329226,69.437463,1.73,8.017711,1.674561,41,147,92.53,80.36,15.42,61,5.19,21.99
333,"Gen_333",66,146,151,27.3,26.5,54.820192,59.767955,4.59,7.241963,1.909539,37,127,57.95,93.26,19.44,61,5.35,21.62
334,"Gen_334",64,144,143,45.4,26.0,47.409134,90.056479,2.45,6.522998,1.736182,40,147,57.96,82.09,20.12,68,5.4,19.53
335,"Gen_335",61,146,111,23.3,23.4,46.482139,64.281973,2.51,5.115934,1.170201,32,147,64.2,97.55,17.68,76,4.51,16.59
336,"Gen_336",67,136,119,31.6,23.8,64.230399,82.571713,4.56,10.173981,1.400326,51,148,98.8,97.4,17.49,79,3.76,17.66
337,"Gen_337",68,114,142,46.4,23.4,99.295071,43.954907,3.47,9.70207,1.076795,53,130,68.28,52.1,21.24,64,3.43,19.24
338,"Gen_338",64,135,170,46.9,29.8,71.274914,74.024058,1.39,5.054679,1.843332,57,121,80.86,62.32,20.53,65,5.35,16.74
339,"Gen_339",63,147,100,38.0,20.1,75.36769,76.317193,3.81,6.367347,1.344801,52,142,72.64,68.37,21.76,80,3.56,20.51
340,"Gen_340",64,126,152,47.5,23.1,81.136904,69.701747,3.79,14.758262,1.596398,48,150,86.68,85.15,21.19,74,5.96,17.47
341,"Gen_341",70,117,180,35.6,20.4,40.802725,97.766801,3.41,9.051659,1.096616,56,121,76.1,84.3,21.04,70,4.89,17.5
342,"Gen_342",63,117,131,36.6,26.1,97.836695,53.10649,1.8,10.992526,1.501946,31,135,94.43,58.87,18.2,63,4.85,18.39
343,"Gen_343",65,117,148,41.4,29.9,41.165222,73.654159,2.52,8.237751,1.755336,36,130,50.14,79.26,17.4,66,4.95,15.7
344,"Gen_344",63,139,131,25.8,23.9,93.722669,79.943256,4.58,11.469964,1.611732,42,129,93.65,53.43,20.8,72,4.35,21.8
345,"Gen_345",69,146,171,31.5,25.3,77.564097,89.259487,2.32,12.95421,1.262423,43,133,90.86,86.12,20.14,62,3.54,17.78
346,"Gen_346",66,147,110,39.8,23.0,50.94673,88.534446,1.26,6.550878,1.796685,44,147,82.97,74.61,19.14,80,3.17,16.64
347,"Gen_347",68,100,162,34.2,29.8,75.455034,63.832439,2.47,13.73528,1.608967,38,131,79.99,53.24,16.53,71,3.63,21.35
348,"Gen_348",67,116,115,29.0,24.3,49.906516,45.348068,1.51,5.57827,1.293028,46,147,97.14,85.24,21.79,76,4.02,15.84
349,"Gen_349",62,108,143,34.6,23.0,95.143363,51.206223,1.7,7.297763,1.942888,35,121,72.47,61.54,18.6,64,5.95,17.53
350,"Gen_350",60,144,161,25.0,24.1,47.032989,61.440887,2.62,8.276597,1.76874,52,120,77.96,65.31,20.59,74,3.25,18.27
351,"Gen_351",69,130,112,31.0,21.9,83.329584,42.185765,1.07,11.454897,1.492395,59,135,93.18,81.78,15.69,63,5.22,20.53
352,"Gen_352",63,134,174,34.1,27.0,56.636845,52.023217,2.47,6.513071,1.161083,58,150,91.29,92.6,20.68,64,5.51,16.48
353,"Gen_353",68,142,124,29.2,22.1,84.560244,63.460877,1.54,5.725182,1.741996,38,132,84.01,77.75,21.08,78,4.35,20.44
354,"Gen_354",61,131,135,36.1,24.1,41.022518,52.562605,4.17,14.061728,1.104878,37,139,66.81,80.73,18.62,66,3.68,19.05
355,"Gen_355",60,100,156,26.5,27.2,99.260579,98.510676,1.96,9.102102,1.110622,39,132,80.64,88.68,19.28,67,5.47,18.59
356,"Gen_356",64,100,121,46.7,28.7,99.241535,84.751422,3.39,11.299707,1.47091,30,124,51.15,87.42,15.87,79,3.31,16.87
357,"Gen_357",68,142,154,41.7,29.8,50.387597,53.318092,3.51,11.159871,1.746025,31,121,58.63,59.63,21.37,76,3.04,15.91
358,"Gen_358",69,138,167,24.0,24.3,89.304938,63.422868,4.36,10.458079,1.616768,53,150,57.08,58.41,15.71,65,3.05,15.34
359,"Gen_359",60,120,149,46.9,26.0,75.889177,74.774598,4.63,14.179097,1.061342,38,139,88.75,93.34,15.97,63,4.79,19.02
360,"Gen_360",63,146,120,39.8,27.7,89.922896,66.939181,1.13,12.400715,1.473134,33,143,54.71,98.19,17.84,65,5.55,16.88
361,"Gen_361",62,124,170,35.2,20.1,61.94725,93.112324,1.92,11.71661,1.839213,47,143,94.99,68.8,18.16,71,4.04,19.89
362,"Gen_362",66,122,162,27.0,21.8,51.230732,57.987156,3.34,14.980629,1.959637,53,123,62.56,75.77,20.59,80,5.76,20.63
363,"Gen_363",63,115,105,47.7,25.9,93.997365,82.489897,1.41,13.774075,1.940625,46,126,60.12,76.79,20.37,75,4.7,21.4
364,"Gen_364",66,116,114,20.8,21.9,91.475381,64.905546,4.76,8.093427,1.369322,38,136,70.98,74.7,20.58,78,3.47,19.44
365,"Gen_365",69,142,128,45.8,25.3,62.533447,57.153203,4.69,9.028677,1.475994,49,129,67.04,83.72,17.97,68,4.96,16.24
366,"Gen_366",70,148,142,48.1,23.3,42.659619,40.798063,3.0,5.471501,1.101602,32,149,95.91,92.0,20.19,65,5.96,19.51
367,"Gen_367",66,136,138,29.3,27.3,84.111547,78.516287,4.61,14.03359,1.015127,43,136,88.69,96.3,17.03,68,3.44,19.42
368,"Gen_368",63,149,168,37.2,22.6,73.701274,52.933973,1.79,6.363254,1.86156,44,121,63.78,77.22,17.43,70,3.12,16.75
369,"Gen_369",64,125,167,21.5,21.5,99.060286,88.342794,2.08,8.553962,1.47716,38,135,50.4,94.17,20.83,62,4.41,21.81
370,"Gen_370",60,103,154,35.7,21.3,86.600273,72.150676,1.86,14.86666,1.44572,45,147,80.82,60.97,20.17,69,3.1,20.29
371,"Gen_371",68,114,127,36.7,27.7,86.563629,82.834538,3.57,12.321549,1.042344,42,134,61.12,68.82,19.83,75,5.73,20.01
372,"Gen_372",69,121,109,25.7,27.8,63.170192,92.066348,2.21,7.185563,1.717625,44,130,77.25,56.73,16.83,75,4.51,16.02
373,"Gen_373",69,101,146,26.0,24.8,61.745388,79.833544,3.76,8.587859,1.886655,42,150,52.42,62.55,17.42,69,5.97,15.79
374,"Gen_374",65,103,155,28.6,21.5,41.904486,54.529908,4.19,5.55124,1.710957,35,144,54.24,64.13,15.07,70,3.14,18.7
375,"Gen_375",68,134,137,49.1,28.3,42.977684,96.126662,1.05,5.67459,1.236131,53,150,85.39,86.04,18.77,69,3.73,17.28
376,"Gen_376",66,101,100,31.0,24.2,62.299486,93.660156,1.77,8.830303,1.120679,30,131,64.21,95.96,20.27,67,3.98,19.49
377,"Gen_377",60,100,110,23.7,21.1,67.770835,45.130191,4.96,7.604918,1.384608,39,134,95.53,78.31,16.66,67,3.97,19.33
378,"Gen_378",60,123,150,28.3,23.3,77.946575,89.007853,1.22,7.776544,1.342558,57,137,90.58,56.92,18.9,66,5.4,18.2
379,"Gen_379",69,120,128,20.3,22.1,92.912387,90.518535,3.96,8.77547,1.211757,41,145,90.95,53.17,17.94,68,4.02,15.65
